price_id,medicine_id,package_id,amount,currency,price_basis,price_original,source_record_id,price_source,price_status,price_basis_verified,price_current_verified,price_comparison_eligible,savings_calculation_eligible
PRICE-af24a2b726d6cb97dd70c44d,MED-d3bb03ff19bb963d9e4efd1a,PKG-f5e1c7f06c13f14c5a4009c8,400.00,BDT,PACKAGE,"Unit Price: ৳ 40.00,(10's pack: ৳ 400.00),",SRCM-a7ae902de4d9825fc360abbc,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-af24c5a2fa2c40eaabf41c9b,MED-a8a264ddb49b6d5423103a2e,PKG-f32d17a2e1b578a714f5ce66,150.59,BDT,PACKAGE,"Unit Price: ৳ 5.02,(30's pack: ৳ 150.59),",SRCM-421ee233b89a4b0a9b40a463,MARKET_DATASET,DATASET_DERIVED,1,0,1,1
PRICE-af259b97c7675298e933dbcb,MED-b238d1f64e20bd72a5add64a,,,,UNKNOWN,0,SRCR-dc140bfc641fd539277a367a,REGISTERED_DATASET_RAW,MISSING,0,0,0,0
PRICE-af25b72511dad66a25553d27,MED-7e128214a0652171995fe34b,PKG-7f229b3a825f48e504dfa95e,10.00,BDT,UNIT,"Unit Price: ৳ 10.00,(30's pack: ৳ 300.00),",SRCM-771ae95c128c868ce939516b,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-af25c161761fd6d15a6409cc,MED-c6251d0ad8ab84d5571d00c2,PKG-7951c3924fd4264937a3a7a1,2.90,BDT,UNIT,"Unit Price: ৳ 2.90,(100's pack: ৳ 290.00),",SRCM-b1a31393c64bbceee7784589,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-af2704e116afc384bb5f5616,MED-c6661ef550a351a60137f3c3,PKG-9f77286978f7ca2c503303a5,336.00,BDT,PACKAGE,"Unit Price: ৳ 12.00,(28's pack: ৳ 336.00),",SRCM-6503c7a667a8648b5763b688,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-af28f539a236441eaa19eb23,MED-f82da4be5a646ab9374522ff,PKG-7c9e90fab7809595ab2dbc10,150.00,BDT,PACKAGE,"Unit Price: ৳ 5.00,(30's pack: ৳ 150.00),",SRCM-e80aa04ef3222c28623678e7,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-af29828d1f7d085e2e6eca5c,MED-82cf3488192e246d0defec5c,PKG-c3c237fd7e355cb951b1427d,300.00,BDT,PACKAGE,500 mg vial: ৳ 300.00,SRCM-7dda60bbaae58c961da79c50,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-af2be2b1e68db9bc747e0013,MED-2f2c2171f10fb728f22cca9e,,25.00,BDT,UNKNOWN,25.00 Tk,SRCR-ff0188d29a20afd596f0a5d8,REGISTERED_DATASET_RAW,UNVERIFIED_BASIS,0,0,0,0
PRICE-af2e7a6c8b31361af8a10d17,MED-bee403d4ec8589c32959ea68,,,,UNKNOWN,0,SRCR-32e6c34d21e0c0c27d85e0d7,REGISTERED_DATASET_RAW,MISSING,0,0,0,0
PRICE-af307532bd7470833f2b892a,MED-37f35f43dc12a3fd09b055d0,PKG-467e1ce26ac3e4f24482d275,58.00,BDT,UNIT,"Unit Price: ৳ 58.00,(4's pack: ৳ 232.00),",SRCM-37a014d10b015e63b80f89c4,MARKET_DATASET,DATASET_DERIVED,1,0,0,0
PRICE-af32227ed6db72c72e912e14,MED-ccae9a86b9a4e7feda6a2a7d,PKG-5139914804057322b8e2dc8d,240.00,BDT,PACKAGE,"Unit Price: ৳ 8.00,(30's pack: ৳ 240.00),",SRCM-71dc4b30142681d860453d53,MARKET_DATASET,DATASET_DERIVED,1,0,1,1
