source_record_id,source_name,source_row_number,price_original,reason_code
SRCR-aee4d9af9f46877f87b2b3ab,REGISTERED,27,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-4fa8fdbb90ff96554ffed923,REGISTERED,28,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-07c8531411d5a4945a4e6b7b,REGISTERED,29,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-6be39e94eb00f55179f723ba,REGISTERED,30,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-28181306c3e27e5ad896cf37,REGISTERED,35,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-11a6bbd5bbdd398ac45ad93e,REGISTERED,50,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-f50a8699195a28fa022dc4eb,REGISTERED,52,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-89592ad49f25aef403ae477c,REGISTERED,53,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-627bd3f7b23587a8f839c949,REGISTERED,56,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-73452827612dc1562c22c579,REGISTERED,61,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-ef3c670f8d9fdfeda4435592,REGISTERED,74,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-45e48c5e99aa894dec123be1,REGISTERED,75,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-ecfee2610d37e3e4038d220e,REGISTERED,80,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-4682b348cee2d2db274eedf9,REGISTERED,84,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-84ea8bf7a85862afa7b9f8d9,REGISTERED,91,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-ae667b5f69d096dbdc8a7f7a,REGISTERED,101,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-3354c939603eb0b1854fcfef,REGISTERED,106,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-84d63001e651224a6e2f9495,REGISTERED,116,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-99a13e7c29fc91f87aa5650a,REGISTERED,128,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-6ff5814b1cf6e50c766a20c8,REGISTERED,140,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-c39c87484245439cd1002c20,REGISTERED,142,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-1ed405b2d8b63772d7f82bce,REGISTERED,146,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-4804ad962b5a186251787410,REGISTERED,147,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-97ab934d317741ace6ec66f6,REGISTERED,161,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-4e4f61f4d9d729d2a0c86445,REGISTERED,170,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-2fb5e0aa78caa11bc4f23f8c,REGISTERED,171,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-20b23fdb87c3c612961f4071,REGISTERED,172,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-d90845629b07ef6105790182,REGISTERED,173,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-3078ca742d03ed53d10f1eb9,REGISTERED,174,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-bb4793953c1c054aa910c57c,REGISTERED,175,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-68c776c4095e5d52cba6ff25,REGISTERED,176,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-105cc67cab6cf9809189e1a7,REGISTERED,177,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-fb30aa1da29a79660fd80edc,REGISTERED,178,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-2d87756c831f8405e9a77e98,REGISTERED,179,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-32371bc4212401ac4b1be73d,REGISTERED,180,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-7d89976fe6d00ec86af8a1d0,REGISTERED,181,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-d28c49993e0091a2316b9f12,REGISTERED,182,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-cbb0c51d9252b205bb321036,REGISTERED,183,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-b8984da4cc7724578dc12973,REGISTERED,184,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-ee26706cb1261f2bea307b59,REGISTERED,185,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-84461d077a88f8417161b1b0,REGISTERED,186,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-feb0ba46fc9d21e9eaec2dd7,REGISTERED,187,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-7d7e289fc052254a08b9eab4,REGISTERED,188,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-7666f7f5df45e025694fba8c,REGISTERED,189,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-d7dcb9a572bb9352ce5f724e,REGISTERED,190,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-9097ab0d47896534339d5af5,REGISTERED,191,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-f6deba9d48093d810c9756f5,REGISTERED,202,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-3d358a031d9ea53f563b6c5d,REGISTERED,204,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-471133e95a67cd5fdd22d3cb,REGISTERED,209,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-b98bc15bff84f7c7d0e104b5,REGISTERED,210,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-56ef9eabebadf6adba98cd2e,REGISTERED,214,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-1f2d58d6554e1e96cfe706d3,REGISTERED,225,Price List,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-5e8f701c42f63cb113a8652a,REGISTERED,233,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-73127c87a7a5a129fb235c98,REGISTERED,241,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-281408c9cbc2efe71adec4c2,REGISTERED,251,Price List,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-97610f3d7c6af5bb8c611f50,REGISTERED,261,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-1832112fa1b2ac63bdb6c5eb,REGISTERED,262,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-8be4238cdeb8d5a64def0865,REGISTERED,264,Price List,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-d02307985d12fa92f61e8ee7,REGISTERED,265,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-50d55162140a39a11199d03a,REGISTERED,271,Price List,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-f9e3b2a68140a43a4998b908,REGISTERED,272,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-79b21ef1264b178849ef1b3d,REGISTERED,282,Price List,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-fc9f1346cfe320e196ecdb27,REGISTERED,288,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-17ec13659e6ec70f274edd6d,REGISTERED,294,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-3a0f5e9cd5dbe1d9d787f620,REGISTERED,304,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-6acfaaddf977b64c795e6f33,REGISTERED,306,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-58c5d07798f7b928745cac9c,REGISTERED,313,Price List,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-bc7daa3cef225a55ca916eb9,REGISTERED,329,Price List,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-7b140c10dff6f07ba14f1f75,REGISTERED,334,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-669677adecd9d647cf0911e8,REGISTERED,354,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-c2442cc2baa9af597cbf56e0,REGISTERED,372,Price List,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-b7266bfa5f61c33f579f720e,REGISTERED,380,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-1d26fc201c94e2632c977998,REGISTERED,398,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-f204eba6b90dfaeb648402ca,REGISTERED,406,Price List,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-156fef42cb580178f397c38d,REGISTERED,410,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
SRCR-0a97be0f2c71157e2e318f70,REGISTERED,420,0,ZERO_OR_UNRESOLVED_REGISTERED_PRICE
