manufacturer_id,display_name,normalized_name,source_verified
MFR-8269c72177f7d2eb23f2335c,Active Fine Chemicals Ltd.,active fine chemicals limited,0
MFR-83d0089d94d8fe48f8955292,Astra Biopharmaceuticals Ltd.,astra biopharmaceuticals limited,0
MFR-83faf2910f5b1ee25e653c79,Royal Pharmaceutical Ltd.,royal pharmaceuticals limited,0
MFR-841ef301477c1c9df572c4af,Adova Pharmaceuticals Ltd.,adova pharmaceuticals limited,0
MFR-84345d264f4fa4a2f350ece2,Rangs Pharmaceuticals Ltd.,rangs pharmaceuticals limited,0
MFR-8469c1433ba5dbe6b6afbd67,Peoples Pharma Ltd.,peoples pharma limited,0
MFR-84a8b69660876daf9d79139c,"Piramal Critical Care, USA",piramal critical care usa,0
MFR-85ed29d21e7a9d9f08654f6a,Labaid Pharmaceuticals Ltd.,labaid pharmaceuticals limited,0
MFR-8635379b8a3533e3bf9640bd,EDCL (Dhaka),edcl dhaka,0
MFR-8663e3628f6113428504ac29,Novo Nordisk Pharma (Pvt.) Ltd,novo nordisk pharma private limited,0
MFR-8771a47677b6e3c65037869e,Doctor TIMS Pharmaceuticals Ltd.,doctor tims pharmaceuticals limited,0
MFR-8803c358bc43f06e22b9795d,Abbott Laboratories,abbott laboratories,0
MFR-8856e41372adadaa364181fc,Momotaz Pharmaceuticals Ltd.,momotaz pharmaceuticals limited,0
MFR-89f92bf4dd283ee25c8f9c8e,Gosun Pharma Corp.,gosun pharma corp,0
MFR-8a80eeb7bce350896fc1a2a7,Healthcare Pharmaceuticals Ltd.,healthcare pharmaceuticals limited,0
MFR-8b47c1cd86b25455131814c8,Square Cephalosporins Ltd.,square cephalosporins limited,0
MFR-8ba4f83bba5d81da664e3030,ZAS Corporation,zas corporation,0
MFR-8bd797f4df6f302f4c3b75db,Vion Pharmaceuticals (Veterinary),vion pharmaceuticals veterinary,0
MFR-8e0631d73a26190cfcc8a415,Decent Pharma Laboratories Ltd.,decent pharma laboratories limited,0
MFR-8e112a508f9df97f96a8a1f4,Orion Pharma Ltd.,orion pharma limited,0
MFR-8e8a5ce545453dae5a2c0e2f,Aexim Pharmaceuticals Ltd.,aexim pharmaceuticals limited,0
MFR-8ebba37f6ef3a407bf5fca9a,Cipla Ltd.,cipla limited,0
MFR-8ed26e01c58e2c95d02b4042,"General Pharmaceuticals Ltd, Unit-2",general pharmaceuticals limited unit 2,0
MFR-8f6ebdaeffc961334a1c75c4,Aristopharma Limited,aristopharma limited,0
MFR-9068059a12c198728e67edd9,Guardian Healthcare Ltd.,guardian healthcare limited,0
MFR-90deffedc997b23aec718cd6,"Purbadesh Chemists Ltd.,",purbadesh chemists limited,0
MFR-91900c0432701fe26383b16b,Unique Pharmaceutical Ltd.,unique pharmaceuticals limited,0
MFR-91b92e293219cd0eacc0d40e,General Pharmaceuticals Ltd.,general pharmaceuticals limited,0
MFR-920cba156f9b71a2fd8f5e3a,"Global Capsules Ltd., Gelatin Division",global capsules limited gelatin division,0
MFR-934e1bd15e986daf7607aabd,EDCL (Bogra),edcl bogra,0
MFR-93e27d9133b80b2cc0dfb8d7,Biogen Pharmaceuticals Ltd.,biogen pharmaceuticals limited,0
MFR-9567e7a480bcc0972ad8772d,Silco Pharmaceuticlas Ltd.,silco pharmaceuticlas limited,0
MFR-963561e9b51b0be45bcb6ff3,"Techno Drugs Ltd., BSCIC I/A, Narshingdi",techno drugs limited bscic i a narshingdi,0
MFR-96373aea55274c29499eca5e,Everest Pharmaceuticals Ltd.,everest pharmaceuticals limited,0
MFR-96eabb15954fac33f2d77ade,Syntho Laboratories Ltd.,syntho laboratories limited,0
MFR-98fca54a0e878e7f1f24f3d8,Opsonin Pharma Ltd.,opsonin pharma limited,0
MFR-99977adc050136ce85fe4807,Valneva,valneva,0
MFR-99a287dcd460efd42339952a,Orion Infusion Ltd.,orion infusion limited,0
MFR-99b89163fbd0f3e7b74747eb,"Dider Pharma Ltd.,",dider pharma limited,0
MFR-99e59972eb310cb05cf4ade7,OSL Pharma Ltd.,osl pharma limited,0
MFR-99f9ebbef37fcec54094af8f,Bristol Myers Squibb,bristol myers squibb,0
MFR-9a28dcc40caa10b2cf9a4e4f,Pharmadesh Laboratories Ltd.,pharmadesh laboratories limited,0
MFR-9bb019b9e20745b13e34611a,Central Pharmaceuticals Ltd.,central pharmaceuticals limited,0
MFR-9be8eea8e32bcd8e59ffcc14,Ambee Pharmaceuticals Ltd.,ambee pharmaceuticals limited,0
MFR-9c5d2215f7ad99c7ead6f064,Supreme Pharmaceuticals Ltd.,supreme pharmaceuticals limited,0
MFR-9cca227487ae8e8200b5817f,Zenith Pharmaceuticals Ltd.,zenith pharmaceuticals limited,0
MFR-9da93fe65b58808bf598a192,UniMed UniHealth,unimed unihealth,0
MFR-9db6c51f757a0d1be59003a3,RN Pharmaceuticals,rn pharmaceuticals,0
MFR-9e3ca6c6a8e5c134ae832d92,Advanced Chemical Industries Limited,advanced chemical industries limited,0
MFR-9edd81986f1fecf4c9e13548,Apex Pharmaceuticals Ltd.,apex pharmaceuticals limited,0
MFR-9ede55d0b0d304491173e652,Eskayef Pharmaceuticals Ltd.,eskayef pharmaceuticals limited,0
MFR-9efd0f01d06bb0a908960b11,"Peertop Pharmaceuticals Ltd.,",peertop pharmaceuticals limited,0
MFR-9eff89e784c2d2e979ec6983,Servier Bangladesh Operation,servier bangladesh operation,0
MFR-9fcbf37d0fe221dcac42bb7d,Allied Pharmaceuticals Ltd.,allied pharmaceuticals limited,0
MFR-9fd3288a0ef2e10ec1d06827,Vision Drugs Limited (Veterinary),vision drugs limited veterinary,0
MFR-a1302fa17a45aafbb79bfbeb,Innovative Pharma (Albion),innovative pharma albion,0
MFR-a2080143754678dd1d0a6bd8,Pacific Pharmaceuticals Ltd.,pacific pharmaceuticals limited,0
MFR-a2aea5da1f075fe6d1b827d1,"Physic Pharmaceuticals Ltd.,",physic pharmaceuticals limited,0
MFR-a4907f00cb99ee5fb79f61ca,ACI HealthCare Limited,aci healthcare limited,0
MFR-a5274138349c5ea066fabd97,Spectra Oxygen Limited,spectra oxygen limited,0
MFR-a6b70a8a5074fc12ed70d61d,Nicholas,nicholas,0
MFR-a6e8d05916608e842d95aeeb,Centeon Pharma Ltd.,centeon pharma limited,0
MFR-a8db17e127f5c8c3689303cf,MST Pharma and Healthcare Ltd.,mst pharma and healthcare limited,0
MFR-aa670784c196c4f59c59cb69,Hallmark Pharmaceuticals Ltd.,hallmark pharmaceuticals limited,0
MFR-aba66e7564bfe16f54ab3770,Gonoshasthaya Pharmaceuticals Ltd.,gonoshasthaya pharmaceuticals limited,0
MFR-ac33cd0372d8c7d5595bca90,"Eskayef Pharmaceuticals Ltd., Tongi,Gazipur",eskayef pharmaceuticals limited tongi gazipur,0
MFR-adafe3b20189a2d53e3cf791,City Overseas Ltd.,city overseas limited,0
MFR-aee552eab3e055aa2dfe2bcf,Marksman Pharmaceutical Ltd.,marksman pharmaceuticals limited,0
MFR-aeef6e8d59b5bc22c68738b0,The ACME Laboratories Ltd.,the acme laboratories limited,0
MFR-afb045ac55b3f0fa61c3e8c4,Rahman Chemicals Ltd.,rahman chemicals limited,0
MFR-afc2ca25f8a9d990167ebb86,Doctor's Chemicals Works Ltd.,doctor s chemicals works limited,0
MFR-b093c2cd1ff8981a11869360,Octapharma Pharmazeutica,octapharma pharmazeutica,0
MFR-b0e1277986cef1d9c3a40ddb,Virgo Pharmaceuticals Ltd.,virgo pharmaceuticals limited,0
MFR-b32181b393a70d40dd59af69,"Eskayef Pharmaceuticals Ltd. Chandana, Gazipur",eskayef pharmaceuticals limited chandana gazipur,0
MFR-b3ab8b507b95c8891096c61a,Bexter Pharmaceuticals,bexter pharmaceuticals,0
MFR-b55389328e0a1ffa10d78e10,Maks Drugs Ltd.,maks drugs limited,0
MFR-b5547d866469f9a683f9b774,Alkad Laboratories,alkad laboratories,0
MFR-b57058a718484e9c9fa01473,Remo Chemical Ltd.,remo chemical limited,0
MFR-b5ce258def23900f1bffddff,Union Pharmaceuticals Ltd.,union pharmaceuticals limited,0
MFR-b70dc1fe4f2470cfe477d6e5,Quality Pharmaceuticals Ltd.,quality pharmaceuticals limited,0
MFR-b78081edcc18fca16e52c520,Mylan Pharmaceutical industry company,mylan pharmaceuticals industry company,0
MFR-b797a96b05587c2c0ef4e040,DBL Pharmaceuticals Limited,dbl pharmaceuticals limited,0
MFR-b816fd94b435bfcdb2d99df6,Millat Pharmaceuticals Ltd.,millat pharmaceuticals limited,0
MFR-b85bc0bc83ddfea31637feb4,ACM laboratoire dermatologique,acm laboratoire dermatologique,0
MFR-b8a070f52b2e7e31eb6d2d3d,Boehringer Ingelheim,boehringer ingelheim,0
MFR-b8c3e447ac92f48b98119068,Arges Life Science Ltd.,arges life science limited,0
MFR-b97dbf357130f738946acaeb,GlaxoSmithKline,glaxosmithkline,0
MFR-bab5c5268731fcea72b62167,Chepla Pharm-Gmbh,chepla pharm gmbh,0
MFR-bb7b8ed38884e90682cae45c,Quality Pharmaceuticals (Pvt) Ltd.,quality pharmaceuticals private limited,0
MFR-bbf3ff24582d985c63b18527,Sonear Laboratories Ltd.,sonear laboratories limited,0
MFR-bc09d20847a93cda0bd8d556,Monicopharma Ltd.,monicopharma limited,0
MFR-bc4bfc02a34da40bd9dea46c,"Allergan, Inc.",allergan inc,0
MFR-bd1032c9d0039adef211cd4b,Veritas Pharmaceuticals Ltd.,veritas pharmaceuticals limited,0
