source_record_id,source_name,source_row_number,generic_original,strength_original,parse_status,parse_reason
SRCR-7f73106017af8e89f495ec8c,REGISTERED,30775,Sulphadiazine + Trimethoprim,40 gm + 8 gm/100 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-9f43da300ea6a104973c3306,REGISTERED,30803,Nicotinamide + Pyridoxine Hydrochloride + Riboflavin + Vitamin B1 + Zinc,20 mg + 2 mg + 2 mg + 5 mg + 10 mg/5 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-5b0c0a64f87f2edf573237ba,REGISTERED,30832,Econazole Nitrate + Triamcinolone Acetonide,1 gm + 100 mg/100 gm,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-be957fcebc4013660cc50575,REGISTERED,30837,Ipratropium Bromide + Salbutamol,20 mcg + 100 mcg/Metered Inhalation,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-96f4e24c229c30a1434f2d3f,REGISTERED,30841,Benzathine Penicillin,6 Lac Unit/vial,FAILED,UNSUPPORTED_STRENGTH_PATTERN
SRCR-78f786f7aeeccfb87b789591,REGISTERED,30858,Menthol + Methyl Salicylate,8 gm + 30 gm/100 gm,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-6ce4f38863c2daf51e6fa262,REGISTERED,30859,Menthol + Methyl Salicylate,10 gm + 15 gm/100 gm,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-6bcd99e24e9d13a1817ad252,REGISTERED,30861,Fluticasone Propionate + Salmeterol,50 mcg + 25 mcg/Metered Inhalation,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-2916a82c790c78805944a938,REGISTERED,30864,Cyanocobalamin + Pyridoxine Hydrochloride + Vitamin B1,1 mg + 100 mg + 100 mg/3 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
SRCR-7de65d268739a18681772d98,REGISTERED,30868,Elemental Iron + Nicotinamide + Pyridoxine Hydrochloride + Riboflavin + Vitamin B1 + Zinc,50 mg + 20 mg + 2 mg + 2 mg + 5 mg + 10 mg/5 ml,AMBIGUOUS,AMBIGUOUS_SHARED_DENOMINATOR
